latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-25.13,148.535,336.7,1,1,2019-02-21,00:15,T,22,6.0NRT,311.2,17.9,D
-19.525,144.175,319,2.1,1.4,2019-02-21,00:15,T,53,6.0NRT,306.4,26.1,D
-22.914,149.898,323.7,1,1,2019-02-21,00:15,T,54,6.0NRT,304.6,8.4,D
-22.925,149.91,325.6,1,1,2019-02-21,00:15,T,56,6.0NRT,304.6,10.5,D
-24.704,148.223,333.5,1,1,2019-02-21,00:15,T,67,6.0NRT,307.8,16,D
-24.707,148.243,332.7,1,1,2019-02-21,00:15,T,37,6.0NRT,309.5,14.5,D
-24.713,148.221,339.4,1,1,2019-02-21,00:15,T,83,6.0NRT,311.2,25.6,D
-24.716,148.242,353.1,1,1,2019-02-21,00:15,T,95,6.0NRT,310,53,D
-24.718,148.252,343.2,1,1,2019-02-21,00:15,T,87,6.0NRT,309.9,32.7,D
-24.725,148.24,344.4,1,1,2019-02-21,00:15,T,88,6.0NRT,309.5,33.3,D
-24.727,148.251,344.5,1,1,2019-02-21,00:15,T,88,6.0NRT,310.3,35.5,D
-24.748,148.204,330.3,1,1,2019-02-21,00:15,T,55,6.0NRT,310.6,12.4,D
-24.771,148.232,332.1,1,1,2019-02-21,00:15,T,35,6.0NRT,312.5,14.7,D
-24.772,148.242,331.8,1,1,2019-02-21,00:15,T,51,6.0NRT,312.9,14.7,D
-24.778,148.22,333.5,1,1,2019-02-21,00:15,T,31,6.0NRT,312.2,15.3,D
-24.78,148.23,342.9,1,1,2019-02-21,00:15,T,85,6.0NRT,310.9,30.6,D
-24.859,148.51,330,1,1,2019-02-21,00:15,T,68,6.0NRT,310.5,13.7,D
-25.102,149.83,326,1,1,2019-02-21,00:15,T,33,6.0NRT,307.1,7.9,D
-25.104,149.84,325.9,1,1,2019-02-21,00:15,T,47,6.0NRT,307.3,8.4,D
-24.918,148.235,332.5,1,1,2019-02-21,00:15,T,75,6.0NRT,305.8,21.6,D
-25.076,148.479,339.1,1,1,2019-02-21,00:15,T,82,6.0NRT,310.1,26.5,D
-25.085,148.477,337.1,1,1,2019-02-21,00:15,T,81,6.0NRT,310.9,22,D
-25.087,148.487,336.9,1,1,2019-02-21,00:15,T,73,6.0NRT,309.2,22.9,D
-25.096,148.485,332.5,1,1,2019-02-21,00:15,T,54,6.0NRT,310.6,14.6,D
-25.122,148.485,329.5,1,1,2019-02-21,00:15,T,52,6.0NRT,310.6,10.3,D
-25.129,148.525,355.6,1,1,2019-02-21,00:15,T,97,6.0NRT,311.9,57.9,D
-19.513,144.177,327.9,2.1,1.4,2019-02-21,00:15,T,75,6.0NRT,306,52.9,D
