latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-15.54,126.085,334.3,1.8,1.3,2019-04-05,0135,T,84,6.0NRT,291,59.9,D
-15.543,126.101,326.5,1.8,1.3,2019-04-05,0135,T,58,6.0NRT,293.2,34.5,D
-15.835,125.585,321.5,1.9,1.3,2019-04-05,0135,T,50,6.0NRT,286.6,33.2,D
-15.907,125.788,323.2,1.8,1.3,2019-04-05,0135,T,71,6.0NRT,296.4,26.6,D
-16.648,125.485,321.5,1.9,1.3,2019-04-05,0135,T,57,6.0NRT,299.5,23.3,D
-17.026,127.236,320.8,1.4,1.2,2019-04-05,0135,T,57,6.0NRT,300.2,10.7,D
-17.096,127.231,327.2,1.4,1.2,2019-04-05,0135,T,72,6.0NRT,301.1,19.1,D
-16.531,123.796,320.2,2.5,1.5,2019-04-05,0135,T,71,6.0NRT,284.7,56,D
-17.136,127.276,325.2,1.4,1.2,2019-04-05,0135,T,63,6.0NRT,302.5,13.9,D
-17.138,127.289,325.3,1.4,1.2,2019-04-05,0135,T,64,6.0NRT,302.2,13.9,D
-17.181,127.249,324.5,1.4,1.2,2019-04-05,0135,T,43,6.0NRT,301,12,D
-17.183,127.261,323.1,1.4,1.2,2019-04-05,0135,T,35,6.0NRT,300.2,9.9,D
-17.189,127.234,324.3,1.4,1.2,2019-04-05,0135,T,31,6.0NRT,301.3,12.3,D
-16.634,123.622,331.8,2.6,1.5,2019-04-05,0135,T,84,6.0NRT,298.8,93.4,D
-16.639,123.615,331.1,2.6,1.5,2019-04-05,0135,T,83,6.0NRT,300.2,88.9,D
-16.644,123.639,325.3,2.6,1.5,2019-04-05,0135,T,78,6.0NRT,299.4,61.3,D
-17.218,126.726,327.2,1.5,1.2,2019-04-05,0135,T,72,6.0NRT,303.5,19.1,D
-17.408,127.115,322.6,1.4,1.2,2019-04-05,0135,T,54,6.0NRT,302.1,11.1,D
-17.465,127.099,324,1.4,1.2,2019-04-05,0135,T,33,6.0NRT,302.4,13.3,D
-17.482,127.069,325.9,1.4,1.2,2019-04-05,0135,T,36,6.0NRT,301.5,17.2,D
-17.907,124.851,327.6,2,1.4,2019-04-05,0135,T,74,6.0NRT,305.9,36.7,D
-25.342,129.02,336,1,1,2019-04-05,0135,T,80,6.0NRT,316.2,19.4,D
-25.369,129.015,326.2,1,1,2019-04-05,0135,T,36,6.0NRT,312.7,7.4,D
-28.31,122.703,315,1.7,1.3,2019-04-05,0135,T,34,6.0NRT,301.7,11.2,D
-28.32,122.755,332.4,1.7,1.3,2019-04-05,0135,T,83,6.0NRT,300.2,50.9,D
-28.323,122.772,341.3,1.7,1.3,2019-04-05,0135,T,90,6.0NRT,303.2,80.2,D
-28.334,122.769,322,1.7,1.3,2019-04-05,0135,T,56,6.0NRT,302.8,22.5,D
-28.354,122.746,322.9,1.7,1.3,2019-04-05,0135,T,49,6.0NRT,303.2,21.7,D
-28.365,122.744,328.2,1.7,1.3,2019-04-05,0135,T,80,6.0NRT,302.3,36.1,D
-28.368,122.761,322.5,1.7,1.3,2019-04-05,0135,T,63,6.0NRT,303.5,22.5,D
-28.376,122.752,317,1.7,1.3,2019-04-05,0135,T,35,6.0NRT,301.2,12.9,D
