latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-1.524,9.956,307.3,1.1,1.1,2019-04-06,01:00,A,71,6.0NRT,290.9,8.7,N
-1.586,9.978,302.2,1.1,1.1,2019-04-06,01:00,A,48,6.0NRT,291.4,5.2,N
-1.959,9.88,302.9,1.1,1.1,2019-04-06,01:00,A,52,6.0NRT,291.4,5.5,N
5.393,6.664,300.4,1.2,1.1,2019-04-06,01:00,A,26,6.0NRT,285.7,4.3,N
-24.639,-42.408,310.1,1.4,1.2,2019-04-06,01:15,T,69,6.0NRT,283.4,14.2,N
-24.634,-42.418,308.8,1.4,1.2,2019-04-06,01:15,T,63,6.0NRT,283.4,12.3,N
-20.248,-40.245,312.7,1,1,2019-04-06,01:15,T,61,6.0NRT,293.4,8.5,N
-20.239,-40.243,312.9,1,1,2019-04-06,01:15,T,83,6.0NRT,293.5,9.2,N
-20.23,-40.244,307.2,1,1,2019-04-06,01:15,T,68,6.0NRT,293.1,5.6,N
-18.943,-40.234,318,1,1,2019-04-06,01:15,T,96,6.0NRT,293.1,15.2,N
-18.945,-40.244,316.4,1,1,2019-04-06,01:15,T,93,6.0NRT,293.3,13.7,N
-18.99,-41.606,311.9,1.1,1.1,2019-04-06,01:15,T,84,6.0NRT,294.4,9.5,N
-24.641,-42.423,306.1,1.4,1.2,2019-04-06,01:15,T,42,6.0NRT,283.9,9.4,N
-15.532,-40.546,308.5,1,1,2019-04-06,01:20,T,75,6.0NRT,292.2,8.1,N
-3.596,-38.863,305.6,1.5,1.2,2019-04-06,01:20,T,65,6.0NRT,291.2,8.5,N
-38.175,177.023,301.5,2.1,1.4,2019-04-06,01:40,A,47,6.0NRT,285.2,13.5,D
-13.505,-172.562,314.3,3.3,1.7,2019-04-06,01:45,A,34,6.0NRT,293.1,37.3,D
61.888,159.694,336.1,2.4,1.5,2019-04-06,01:55,T,41,6.0NRT,279.4,130.3,D
59.457,144.069,314.6,1,1,2019-04-06,01:55,T,31,6.0NRT,274,14.6,D
59.46,144.052,315,1,1,2019-04-06,01:55,T,41,6.0NRT,276.9,15.1,D
47.121,132.224,307.2,1.2,1.1,2019-04-06,02:00,T,65,6.0NRT,290.1,6.5,D
47.055,132.095,305.8,1.2,1.1,2019-04-06,02:00,T,45,6.0NRT,290.9,4.2,D
47.055,132.088,308.8,1.2,1.1,2019-04-06,02:00,T,61,6.0NRT,291.1,6.8,D
47.035,132.002,310.2,1.2,1.1,2019-04-06,02:00,T,70,6.0NRT,293.8,8.1,D
46.843,131.615,317.3,1.3,1.1,2019-04-06,02:00,T,67,6.0NRT,291.4,18,D
44.092,131.592,338.1,1.2,1.1,2019-04-06,02:00,T,91,6.0NRT,289.2,47.9,D
44.091,131.607,316,1.2,1.1,2019-04-06,02:00,T,76,6.0NRT,288.8,15,D
44.09,131.586,303.5,1.2,1.1,2019-04-06,02:00,T,31,6.0NRT,288.3,6.1,D
44.088,131.6,310.1,1.2,1.1,2019-04-06,02:00,T,70,6.0NRT,288,11.4,D
43.685,131.942,310.2,1.1,1.1,2019-04-06,02:00,T,50,6.0NRT,284.3,10.7,D
43.653,131.929,308.1,1.1,1.1,2019-04-06,02:00,T,53,6.0NRT,283.9,9.9,D
43.651,131.943,303,1.1,1.1,2019-04-06,02:00,T,27,6.0NRT,285.6,6.2,D
42.867,132.832,309.2,1,1,2019-04-06,02:00,T,62,6.0NRT,286.9,8.6,D
47.997,131.354,331.8,1.3,1.1,2019-04-06,02:00,T,83,6.0NRT,276.6,50.7,D
42.856,132.843,310,1,1,2019-04-06,02:00,T,49,6.0NRT,286.2,8.5,D
42.638,130.692,320.3,1.2,1.1,2019-04-06,02:00,T,61,6.0NRT,288,22.4,D
42.89,122.96,319.2,3.3,1.7,2019-04-06,02:00,T,79,6.0NRT,288.8,82.3,D
42.895,122.953,319.8,3.3,1.7,2019-04-06,02:00,T,79,6.0NRT,289.4,85.6,D
36.234,137.187,308.1,1.4,1.2,2019-04-06,02:00,T,26,6.0NRT,294.5,13.1,D
35.486,140.039,308.9,2.1,1.4,2019-04-06,02:00,T,0,6.0NRT,295.9,13.3,D
35.534,135.2,301.1,1.2,1.1,2019-04-06,02:00,T,33,6.0NRT,290.5,6,D
35.03,136.879,313.7,1.4,1.2,2019-04-06,02:00,T,56,6.0NRT,297.4,10.1,D
35.155,134.69,307.2,1.1,1.1,2019-04-06,02:00,T,43,6.0NRT,287,9,D
35.146,134.688,317.9,1.1,1.1,2019-04-06,02:00,T,78,6.0NRT,287.2,19.2,D
34.742,135.08,305.5,1.2,1.1,2019-04-06,02:00,T,37,6.0NRT,293,5.4,D
34.73,135.09,305,1.2,1.1,2019-04-06,02:00,T,31,6.0NRT,292.1,5.4,D
34.028,133.809,306.2,1.1,1,2019-04-06,02:00,T,53,6.0NRT,295.7,6.7,D
48.194,131.897,316.8,1.3,1.1,2019-04-06,02:00,T,67,6.0NRT,283.3,21.7,D
48.925,135.931,361.5,1,1,2019-04-06,02:00,T,91,6.0NRT,287.5,0,D
49.265,133.253,331.6,1.2,1.1,2019-04-06,02:00,T,87,6.0NRT,281.9,40.2,D
48.934,135.934,331.4,1,1,2019-04-06,02:00,T,0,6.0NRT,285.7,32,D
42.865,132.845,317.2,1,1,2019-04-06,02:00,T,77,6.0NRT,287.9,15.1,D
47.995,131.371,327,1.3,1.1,2019-04-06,02:00,T,85,6.0NRT,279.7,41.5,D
47.91,131.614,303.3,1.3,1.1,2019-04-06,02:00,T,31,6.0NRT,276,10.6,D
47.89,131.801,309.6,1.3,1.1,2019-04-06,02:00,T,42,6.0NRT,273.3,16.1,D
47.898,131.629,307.5,1.3,1.1,2019-04-06,02:00,T,60,6.0NRT,273,14.8,D
47.864,131.848,314.9,1.3,1.1,2019-04-06,02:00,T,75,6.0NRT,269.2,23.4,D
47.03,133.197,314.3,1.1,1.1,2019-04-06,02:00,T,75,6.0NRT,289.6,11.2,D
48.192,131.914,315.3,1.3,1.1,2019-04-06,02:00,T,63,6.0NRT,281.9,20.4,D
32.827,131.221,315,1,1,2019-04-06,02:05,T,72,6.0NRT,297.5,10.8,D
33.263,131.651,325.9,1,1,2019-04-06,02:05,T,0,6.0NRT,304.2,14.4,D
33.265,131.641,321.6,1,1,2019-04-06,02:05,T,0,6.0NRT,300.2,9.9,D
33.662,133.663,303,1.1,1,2019-04-06,02:05,T,54,6.0NRT,292.9,4.5,D
61.881,159.677,370,1.1,1,2019-04-06,02:10,A,100,6.0NRT,282.8,133.6,D
61.897,159.733,349.5,1.1,1,2019-04-06,02:10,A,95,6.0NRT,283.2,69.1,D
61.895,159.713,330.6,1.1,1,2019-04-06,02:10,A,60,6.0NRT,280.3,32,D
61.911,159.769,344,1.1,1,2019-04-06,02:10,A,92,6.0NRT,284.1,57.4,D
61.909,159.749,346.5,1.1,1,2019-04-06,02:10,A,93,6.0NRT,284.7,62.8,D
61.911,159.683,323.9,1.1,1,2019-04-06,02:10,A,77,6.0NRT,279.7,26.6,D
1.991,117.39,312,2.5,1.5,2019-04-06,02:10,T,48,6.0NRT,290,19.5,D
1.037,120.82,318.6,1.3,1.1,2019-04-06,02:10,T,34,6.0NRT,297.4,10.5,D
-0.887,131.297,313.2,2.7,1.6,2019-04-06,02:10,T,38,6.0NRT,293.9,25.2,D
-0.891,131.321,312.2,2.7,1.6,2019-04-06,02:10,T,48,6.0NRT,293.6,25.2,D
-2.909,129.296,316.6,2,1.4,2019-04-06,02:10,T,62,6.0NRT,295.9,26.4,D
-2.911,129.29,312.8,2,1.4,2019-04-06,02:10,T,53,6.0NRT,295,18.1,D
-2.913,129.308,312.9,2,1.4,2019-04-06,02:10,T,56,6.0NRT,294.6,18.6,D
7.691,124.883,326.7,1,1,2019-04-06,02:10,T,73,6.0NRT,302.1,10,D
7.831,124.676,318.7,1,1,2019-04-06,02:10,T,61,6.0NRT,298.6,7.3,D
61.872,159.682,315.9,1.1,1,2019-04-06,02:10,A,65,6.0NRT,282.1,18.9,D
8.422,124.474,331.4,1,1,2019-04-06,02:10,T,75,6.0NRT,301.1,17.8,D
8.182,126.358,317.2,1,1,2019-04-06,02:10,T,66,6.0NRT,297.8,9.7,D
8.506,125.982,315.3,1,1,2019-04-06,02:10,T,65,6.0NRT,297.4,6.7,D
12.781,121.016,320.7,1.9,1.4,2019-04-06,02:10,T,54,6.0NRT,296.3,21.7,D
13.146,122.874,310.1,1.4,1.2,2019-04-06,02:10,T,24,6.0NRT,297.3,9.5,D
13.327,122.722,312.3,1.5,1.2,2019-04-06,02:10,T,54,6.0NRT,297.9,13.1,D
15.315,120.413,319.5,2.3,1.5,2019-04-06,02:10,T,35,6.0NRT,297.4,32.5,D
61.883,159.698,378.8,1.1,1,2019-04-06,02:10,A,100,6.0NRT,284.6,169.5,D
61.9,159.754,343.7,1.1,1,2019-04-06,02:10,A,92,6.0NRT,283.8,57,D
1.995,117.367,313.1,2.5,1.5,2019-04-06,02:10,T,63,6.0NRT,291,22,D
2.146,117.491,314,2.5,1.5,2019-04-06,02:10,T,48,6.0NRT,294,21.1,D
6.04,121.008,316.8,1.5,1.2,2019-04-06,02:10,T,40,6.0NRT,296.7,11.9,D
7.199,124.337,323.3,1,1,2019-04-06,02:10,T,59,6.0NRT,299.9,10.3,D
61.886,159.718,335.7,1.1,1,2019-04-06,02:10,A,87,6.0NRT,281.9,42.4,D
-2.834,122.161,317,1,1,2019-04-06,02:15,T,65,6.0NRT,295.9,8.7,D
-3.306,128.959,311.7,1.9,1.4,2019-04-06,02:15,T,0,6.0NRT,295.2,13.9,D
-29.733,115.732,345.2,1,1,2019-04-06,02:20,T,69,6.0NRT,310.6,45.7,D
-25.383,128.59,358.1,3.7,1.8,2019-04-06,02:20,T,98,6.0NRT,312.3,455.1,D
-25.386,128.628,348.2,3.8,1.8,2019-04-06,02:20,T,92,6.0NRT,312.5,304.8,D
-28.317,122.765,319.7,1.6,1.2,2019-04-06,02:20,T,56,6.0NRT,305.5,15.4,D
-28.384,122.756,334.4,1.6,1.2,2019-04-06,02:20,T,84,6.0NRT,306.1,46.2,D
-28.383,122.75,330,1.6,1.2,2019-04-06,02:20,T,79,6.0NRT,305.5,36.6,D
-28.385,122.766,324.8,1.6,1.2,2019-04-06,02:20,T,72,6.0NRT,306,23.8,D
-29.115,122.471,348.4,1.6,1.2,2019-04-06,02:20,T,94,6.0NRT,303.7,95.1,D
-28.579,115.601,322,1.1,1,2019-04-06,02:20,T,65,6.0NRT,309.2,8.4,D
-28.896,116.086,326.8,1,1,2019-04-06,02:20,T,74,6.0NRT,309.4,12,D
-28.805,115.225,320.9,1.1,1,2019-04-06,02:20,T,62,6.0NRT,309,7.4,D
